Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-28,Unexpected application log errors after deployment,Data,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-01-01T22:57:49.000000,2025-01-02T04:57:49.000000,2025-01-03T13:57:49.000000,0,2,Wednesday,1,6.0,33.0,39.0,1,2025-01
CR-29,Single sign-on not working for cloud application,Data,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,High,High,2025-01-01T12:07:54.000000,2025-01-01T15:07:54.000000,2025-01-01T20:07:54.000000,0,3,Wednesday,1,3.0,5.0,8.0,1,2025-01
CR-30,Old password still granting access to system,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-01T17:37:53.000000,2025-01-01T21:37:53.000000,2025-01-02T07:37:53.000000,0,4,Wednesday,1,4.0,10.0,14.0,1,2025-01
CR-31,User unable to change expired password remotely,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T12:12:14.000000,2025-01-01T14:12:14.000000,2025-01-02T00:12:14.000000,0,5,Wednesday,1,2.0,10.0,12.0,1,2025-01
CR-32,Data export from system failing with error,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T10:11:05.000000,2025-01-01T12:11:05.000000,2025-01-02T15:11:05.000000,0,1,Wednesday,1,2.0,27.0,29.0,1,2025-01
CR-33,Broken link on intranet home page,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,In Progress,Medium,Critical,High,High,2025-01-01T20:49:29.000000,2025-01-02T01:49:29.000000,,1,4,Wednesday,0,5.0,,,0,2025-01
CR-34,Network latency observed between data center and branch office,Facilities,Batman,Batman,Matrix,Service A,Closed,High,High,High,Medium,2025-01-01T12:06:27.000000,2025-01-01T16:06:27.000000,2025-01-02T09:06:27.000000,0,3,Wednesday,1,4.0,17.0,21.0,1,2025-01
CR-35,Intermittent packet loss on WAN link,Failure,John Cena,John Cena,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-01-01T07:45:48.000000,2025-01-01T14:45:48.000000,2025-01-02T13:45:48.000000,0,2,Wednesday,1,7.0,23.0,30.0,0,2025-01
CR-36,Duplicate records appearing in customer database,Data,John Cena,John Cena,Matrix,Service C,Closed,Low,Low,Low,Low,2025-01-01T08:49:51.000000,2025-01-01T15:49:51.000000,2025-01-04T10:49:51.000000,0,0,Wednesday,1,7.0,67.0,74.0,1,2025-01
CR-37,Firewall blocking legitimate traffic to partner system,Access,Captain America,Captain America,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T19:56:21.000000,2025-01-01T22:56:21.000000,2025-01-02T17:56:21.000000,1,2,Wednesday,0,3.0,19.0,22.0,0,2025-01
CR-38,Intermittent packet loss on WAN link,Network,John Wick,John Wick,Matrix,Service A,Closed,High,Medium,Low,Medium,2025-01-01T22:42:35.000000,2025-01-02T02:42:35.000000,2025-01-02T15:42:35.000000,0,2,Wednesday,1,4.0,13.0,17.0,0,2025-01
CR-39,Auto-save not working in productivity application,Facilities,Hulk,Hulk,Avengers,Service C,Closed,Low,Medium,Low,Medium,2025-01-01T11:02:31.000000,2025-01-01T19:02:31.000000,2025-01-02T21:02:31.000000,0,2,Wednesday,1,8.0,26.0,34.0,1,2025-01
CR-40,New software installation failing on endpoint,Hardware,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,High,Medium,Medium,2025-01-01T06:38:34.000000,2025-01-01T08:38:34.000000,2025-01-01T19:38:34.000000,0,2,Wednesday,1,2.0,11.0,13.0,1,2025-01
CR-41,User account locked after multiple failed login attempts,Failure,Neo,Neo,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-01-01T22:59:59.000000,2025-01-02T02:59:59.000000,2025-01-03T13:59:59.000000,1,1,Wednesday,0,4.0,35.0,39.0,1,2025-01
CR-42,Newly created user not syncing to all systems,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T14:05:12.000000,2025-01-01T20:05:12.000000,2025-01-03T01:05:12.000000,0,1,Wednesday,1,6.0,29.0,35.0,1,2025-01
CR-43,Newly created user not syncing to all systems,Hardware,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T12:28:14.000000,2025-01-01T20:28:14.000000,2025-01-02T18:28:14.000000,0,2,Wednesday,1,8.0,22.0,30.0,0,2025-01
CR-44,Intermittent connectivity issues to file server,Failure,Neo,Neo,Matrix,Service B,Closed,High,High,Medium,High,2025-01-01T20:40:58.000000,2025-01-02T00:40:58.000000,2025-01-02T16:40:58.000000,0,3,Wednesday,1,4.0,16.0,20.0,1,2025-01
CR-45,Email client not connecting to mail server,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,On Hold,Medium,Medium,Medium,Low,2025-01-01T22:35:18.000000,,,0,1,Wednesday,1,,,,0,2025-01
CR-46,Incorrect language settings applied to user interface,Hardware,Batman,Batman,Matrix,Service B,Closed,Low,Critical,High,High,2025-01-01T11:27:15.000000,2025-01-01T17:27:15.000000,2025-01-01T22:27:15.000000,1,5,Wednesday,0,6.0,5.0,11.0,1,2025-01
CR-47,File restore from backup failed for requested folder,Complaint,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T11:12:25.000000,2025-01-01T13:12:25.000000,2025-01-01T21:12:25.000000,0,4,Wednesday,1,2.0,8.0,10.0,1,2025-01
CR-48,Network outage in specific office floor,Access,Hulk,Hulk,Avengers,Service C,Closed,Low,Medium,Medium,Low,2025-01-01T14:43:09.000000,2025-01-01T19:43:09.000000,2025-01-03T02:43:09.000000,1,2,Wednesday,0,5.0,31.0,36.0,1,2025-01
CR-49,Network latency observed between data center and branch office,Complaint,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T21:01:00.000000,2025-01-02T04:01:00.000000,2025-01-02T22:01:00.000000,1,2,Wednesday,0,7.0,18.0,25.0,0,2025-01
CR-50,Newly created user not syncing to all systems,Complaint,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T08:39:05.000000,2025-01-01T13:39:05.000000,2025-01-01T22:39:05.000000,0,3,Wednesday,1,5.0,9.0,14.0,1,2025-01
CR-51,Access badge system not updating from central database,Data,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,High,2025-01-01T05:20:49.000000,2025-01-01T13:20:49.000000,2025-01-01T15:20:49.000000,0,3,Wednesday,1,8.0,2.0,10.0,0,2025-01
CR-52,Error 500 returned by internal web application,Access,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T03:50:25.000000,2025-01-01T05:50:25.000000,2025-01-01T19:50:25.000000,0,2,Wednesday,1,2.0,14.0,16.0,0,2025-01
CR-53,Time-out errors when accessing CRM system,Network,Loki,Loki,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T07:45:17.000000,2025-01-01T09:45:17.000000,2025-01-02T10:45:17.000000,0,2,Wednesday,1,2.0,25.0,27.0,1,2025-01
CR-54,User unable to log in to corporate VPN,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,High,Medium,High,2025-01-01T04:44:02.000000,2025-01-01T12:44:02.000000,2025-01-01T19:44:02.000000,0,2,Wednesday,1,8.0,7.0,15.0,0,2025-01
CR-55,Antivirus alert triggered on user workstation,Complaint,Captain America,Captain America,Avengers,Service B,New,Low,Low,Low,Low,2025-01-01T13:09:02.000000,,,0,1,Wednesday,1,,,,0,2025-01
CR-56,Queue processing stuck in payment application,Complaint,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Low,Low,Low,2025-01-01T07:25:51.000000,2025-01-01T15:25:51.000000,2025-01-02T22:25:51.000000,0,0,Wednesday,1,8.0,31.0,39.0,0,2025-01
CR-57,Endpoint disk space critically low warning,Complaint,John Cena,John Cena,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T01:11:42.000000,2025-01-01T07:11:42.000000,2025-01-02T12:11:42.000000,0,1,Wednesday,1,6.0,29.0,35.0,1,2025-01
CR-58,Multiple users experiencing Outlook crashes,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,High,High,2025-01-01T19:41:20.000000,2025-01-01T22:41:20.000000,2025-01-02T04:41:20.000000,0,2,Wednesday,1,3.0,6.0,9.0,0,2025-01
CR-59,Old password still granting access to system,Data,Batman,Batman,Matrix,Service C,Closed,Low,High,High,High,2025-01-01T09:20:41.000000,2025-01-01T15:20:41.000000,2025-01-02T01:20:41.000000,0,3,Wednesday,1,6.0,10.0,16.0,1,2025-01
CR-60,Antivirus alert triggered on user workstation,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Low,2025-01-01T17:24:09.000000,2025-01-01T21:24:09.000000,2025-01-03T09:24:09.000000,0,1,Wednesday,1,4.0,36.0,40.0,1,2025-01
CR-61,User’s mailbox not receiving external emails,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Low,2025-01-01T17:42:45.000000,2025-01-01T21:42:45.000000,2025-01-03T06:42:45.000000,0,2,Wednesday,1,4.0,33.0,37.0,1,2025-01
CR-62,Time-out errors when accessing CRM system,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T07:10:03.000000,2025-01-01T12:10:03.000000,2025-01-01T23:10:03.000000,0,4,Wednesday,1,5.0,11.0,16.0,1,2025-01
CR-63,Multiple users experiencing Outlook crashes,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T04:14:04.000000,2025-01-01T07:14:04.000000,2025-01-02T13:14:04.000000,0,2,Wednesday,1,3.0,30.0,33.0,1,2025-01
CR-64,Duplicate records appearing in customer database,Software,Iron Man,Iron Man,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T08:11:18.000000,2025-01-01T16:11:18.000000,2025-01-02T20:11:18.000000,0,1,Wednesday,1,8.0,28.0,36.0,1,2025-01
CR-65,Incorrect language settings applied to user interface,Complaint,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T13:38:38.000000,2025-01-01T18:38:38.000000,2025-01-02T01:38:38.000000,0,4,Wednesday,1,5.0,7.0,12.0,1,2025-01
CR-66,Duplicate records appearing in customer database,Failure,Neo,Neo,Matrix,Service A,New,Low,Low,Low,Low,2025-01-01T07:12:46.000000,,,0,1,Wednesday,1,,,,0,2025-01
CR-67,External website not reachable from corporate network,Failure,Hulk,Hulk,Avengers,Service B,In Progress,High,Medium,Medium,Medium,2025-01-01T15:29:28.000000,2025-01-01T17:29:28.000000,,0,2,Wednesday,1,2.0,,,0,2025-01
CR-68,Printing jobs stuck in queue without error message,Data,Batman,Batman,Matrix,Service B,Closed,Medium,Medium,Medium,Low,2025-01-01T08:36:56.000000,2025-01-01T13:36:56.000000,2025-01-02T07:36:56.000000,0,2,Wednesday,1,5.0,18.0,23.0,0,2025-01
CR-69,Intermittent packet loss on WAN link,Facilities,Iron Man,Iron Man,Avengers,Service C,On Hold,High,Critical,High,High,2025-01-01T08:31:40.000000,,,0,5,Wednesday,1,,,,0,2025-01
CR-70,Endpoint disk space critically low warning,Access,Captain America,Captain America,Avengers,Service A,Closed,Low,Medium,Medium,Low,2025-01-01T03:31:45.000000,2025-01-01T10:31:45.000000,2025-01-02T17:31:45.000000,0,2,Wednesday,1,7.0,31.0,38.0,1,2025-01
CR-71,Email client not connecting to mail server,Complaint,Captain America,Captain America,Avengers,Service A,On Hold,High,Medium,Medium,Medium,2025-01-01T13:06:20.000000,,,0,2,Wednesday,1,,,,0,2025-01
CR-72,VoIP phone not registering with call manager,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,High,High,Medium,2025-01-01T15:31:36.000000,2025-01-01T21:31:36.000000,2025-01-02T18:31:36.000000,0,2,Wednesday,1,6.0,21.0,27.0,1,2025-01
CR-73,Old password still granting access to system,Hardware,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T10:04:31.000000,2025-01-01T14:04:31.000000,2025-01-01T15:04:31.000000,1,3,Wednesday,0,4.0,1.0,5.0,0,2025-01
CR-74,Application response time extremely slow for multiple users,Software,Hulk,Hulk,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-01T17:24:49.000000,2025-01-02T00:24:49.000000,2025-01-02T03:24:49.000000,1,3,Wednesday,0,7.0,3.0,10.0,0,2025-01
CR-75,Endpoint not checking in with management server,Failure,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T23:37:25.000000,2025-01-02T01:37:25.000000,2025-01-02T11:37:25.000000,0,3,Wednesday,1,2.0,10.0,12.0,1,2025-01
CR-76,Mobile app login failing for all users,Access,Loki,Loki,Avengers,Service A,Closed,High,High,High,High,2025-01-01T12:41:12.000000,2025-01-01T16:41:12.000000,2025-01-02T06:41:12.000000,0,2,Wednesday,1,4.0,14.0,18.0,1,2025-01
CR-77,Network outage in specific office floor,Data,Captain America,Captain America,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-01T15:19:28.000000,2025-01-01T18:19:28.000000,2025-01-04T11:19:28.000000,1,1,Wednesday,0,3.0,65.0,68.0,1,2025-01
CR-78,Antivirus alert triggered on user workstation,Access,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,Medium,High,2025-01-01T03:13:48.000000,2025-01-01T06:13:48.000000,2025-01-01T10:13:48.000000,0,3,Wednesday,1,3.0,4.0,7.0,0,2025-01
CR-79,User profile not loading correctly after login,Hardware,Hulk,Hulk,Avengers,Service A,New,High,High,High,High,2025-01-01T02:58:40.000000,,,0,2,Wednesday,1,,,,0,2025-01
CR-80,Corrupted email attachments received internally,Failure,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-01-01T06:24:39.000000,2025-01-01T14:24:39.000000,2025-01-02T17:24:39.000000,0,2,Wednesday,1,8.0,27.0,35.0,1,2025-01
CR-81,Broken link on intranet home page,Complaint,Captain America,Captain America,Avengers,Service C,Closed,High,Low,Low,Low,2025-01-01T18:09:09.000000,2025-01-02T01:09:09.000000,2025-01-04T01:09:09.000000,0,1,Wednesday,1,7.0,48.0,55.0,0,2025-01
CR-82,Error while uploading documents to intranet portal,Software,Hulk,Hulk,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-01T00:25:36.000000,2025-01-01T07:25:36.000000,2025-01-03T02:25:36.000000,0,0,Wednesday,1,7.0,43.0,50.0,0,2025-01
CR-83,Network outage in specific office floor,Data,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T23:27:44.000000,2025-01-02T01:27:44.000000,2025-01-02T09:27:44.000000,0,5,Wednesday,1,2.0,8.0,10.0,1,2025-01
CR-84,Email client not connecting to mail server,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Medium,Low,Low,2025-01-01T04:49:05.000000,2025-01-01T07:49:05.000000,2025-01-02T13:49:05.000000,0,1,Wednesday,1,3.0,30.0,33.0,1,2025-01
CR-85,User unable to access HR portal,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T02:31:50.000000,2025-01-01T06:31:50.000000,2025-01-01T08:31:50.000000,0,3,Wednesday,1,4.0,2.0,6.0,0,2025-01
CR-86,Application not launching after latest OS update,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,New,High,Medium,Medium,Medium,2025-01-01T08:13:48.000000,,,0,1,Wednesday,1,,,,0,2025-01
CR-87,Error 500 returned by internal web application,Failure,Thor,Thor,Avengers,Service B,In Progress,Low,Medium,Medium,Medium,2025-01-01T19:18:04.000000,2025-01-02T01:18:04.000000,,0,2,Wednesday,1,6.0,,,0,2025-01
CR-88,Application not launching after latest OS update,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,High,High,2025-01-01T08:04:40.000000,2025-01-01T15:04:40.000000,2025-01-02T10:04:40.000000,0,3,Wednesday,1,7.0,19.0,26.0,1,2025-01
CR-89,User unable to open encrypted email,Facilities,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T16:56:06.000000,2025-01-01T21:56:06.000000,2025-01-02T09:56:06.000000,0,4,Wednesday,1,5.0,12.0,17.0,1,2025-01
CR-90,File restore from backup failed for requested folder,Access,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-02T02:25:54.000000,2025-01-02T04:25:54.000000,2025-01-02T12:25:54.000000,0,3,Thursday,1,2.0,8.0,10.0,1,2025-01
CR-91,Endpoint disk space critically low warning,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Low,Low,Low,2025-01-02T02:53:59.000000,2025-01-02T08:53:59.000000,2025-01-05T02:53:59.000000,1,1,Thursday,0,6.0,66.0,72.0,1,2025-01
CR-92,User unable to access HR portal,Software,Batman,Batman,Matrix,Service B,Closed,Low,High,Medium,High,2025-01-02T16:29:28.000000,2025-01-02T19:29:28.000000,2025-01-03T03:29:28.000000,0,3,Thursday,1,3.0,8.0,11.0,0,2025-01
CR-93,Corrupt file detected in document management system,Network,Thor,Thor,Avengers,Service B,Closed,High,Low,Low,Low,2025-01-02T15:22:01.000000,2025-01-02T21:22:01.000000,2025-01-04T11:22:01.000000,0,0,Thursday,1,6.0,38.0,44.0,0,2025-01
CR-94,User unable to open encrypted email,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,High,High,High,2025-01-02T21:39:53.000000,2025-01-03T01:39:53.000000,2025-01-03T17:39:53.000000,0,3,Thursday,1,4.0,16.0,20.0,1,2025-01
CR-95,Single user laptop not connecting to Wi-Fi,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Low,2025-01-02T10:48:59.000000,2025-01-02T15:48:59.000000,2025-01-03T22:48:59.000000,0,2,Thursday,1,5.0,31.0,36.0,1,2025-01
CR-96,Error 500 returned by internal web application,Facilities,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-02T14:02:40.000000,2025-01-02T19:02:40.000000,2025-01-03T01:02:40.000000,0,5,Thursday,1,5.0,6.0,11.0,1,2025-01
CR-97,Network printer not visible in device list,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-01-02T05:12:01.000000,2025-01-02T09:12:01.000000,2025-01-04T17:12:01.000000,1,1,Thursday,0,4.0,56.0,60.0,1,2025-01
CR-98,Local profile corrupted on shared workstation,Hardware,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Medium,Medium,2025-01-02T11:57:24.000000,2025-01-02T19:57:24.000000,2025-01-03T23:57:24.000000,1,2,Thursday,0,8.0,28.0,36.0,1,2025-01
CR-99,Incorrect permissions on shared folder causing access denied,Network,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Low,2025-01-02T15:30:35.000000,2025-01-02T19:30:35.000000,2025-01-04T04:30:35.000000,0,2,Thursday,1,4.0,33.0,37.0,1,2025-01
CR-100,Single user laptop not connecting to Wi-Fi,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Low,Low,2025-01-02T06:55:39.000000,2025-01-02T13:55:39.000000,2025-01-03T22:55:39.000000,0,1,Thursday,1,7.0,33.0,40.0,1,2025-01
CR-101,Newly created user not syncing to all systems,Access,John Cena,John Cena,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-02T21:58:56.000000,2025-01-03T05:58:56.000000,2025-01-04T07:58:56.000000,0,2,Thursday,1,8.0,26.0,34.0,1,2025-01
CR-102,Incorrect language settings applied to user interface,Complaint,Thor,Thor,Avengers,Service C,Closed,High,Low,Low,Low,2025-01-02T15:43:21.000000,2025-01-02T22:43:21.000000,2025-01-04T02:43:21.000000,0,0,Thursday,1,7.0,28.0,35.0,0,2025-01
CR-103,Application not launching after latest OS update,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-01-02T23:40:08.000000,2025-01-03T02:40:08.000000,2025-01-03T14:40:08.000000,0,3,Thursday,1,3.0,12.0,15.0,1,2025-01
