Number,Short Description,Process,System,Assignment Group,Assigned To,State,Priority,Urgency,Impact,Day,Created,Actual Start,Actual End,Closed
ERR-2025-00011,Rate effective date set incorrectly - wrong rate applied to batch,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,High,Medium,Medium,Friday,2025-01-03T12:53:31.000000,2025-01-03T13:10:31.000000,2025-01-03T18:19:02.404755,2025-01-03T19:19:02.404755
ERR-2025-00012,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,Avengers,Iron Man,Closed,High,Medium,High,Monday,2025-01-06T11:56:34.000000,2025-01-06T12:21:34.000000,2025-01-06T15:20:04.706387,2025-01-06T15:52:04.706387
ERR-2025-00013,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,Medium,High,Wednesday,2025-01-15T16:16:41.000000,2025-01-15T17:26:41.000000,2025-01-15T22:55:11.410908,2025-01-15T23:23:11.410908
ERR-2025-00014,Payment in Process X actioned by unauthorised operator,Proces X,SOLEMOS,Avengers,Iron Man,Closed,Medium,Medium,Low,Tuesday,2025-01-14T22:17:36.000000,2025-01-14T23:27:36.000000,2025-01-15T07:12:11.427271,2025-01-15T07:32:11.427271
ERR-2025-00015,Payment submitted without required compliance pre-approval,International Transfer,Stargate,Avengers,Thor,Closed,High,High,High,Monday,2025-01-13T15:18:01.000000,2025-01-13T16:41:01.000000,2025-01-13T22:27:15.592941,2025-01-13T22:51:15.592941
ERR-2025-00016,Payment applied to wrong customer account after name match failure,Basic Payment,STP CAT,Avengers,Thor,Closed,High,High,High,Wednesday,2025-01-22T17:26:38.000000,2025-01-22T18:16:38.000000,2025-01-22T21:27:57.193209,2025-01-22T22:39:57.193209
ERR-2025-00017,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,STP CAT,Avengers,Thor,Closed,Critical,High,High,Thursday,2025-01-16T12:31:39.000000,2025-01-16T12:48:39.000000,2025-01-16T13:39:37.268999,2025-01-16T14:49:37.268999
ERR-2025-00018,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Iron Man,Closed,Medium,Low,Low,Thursday,2025-01-16T13:13:50.000000,2025-01-16T13:39:50.000000,2025-01-17T04:28:38.103804,2025-01-17T05:51:38.103804
ERR-2025-00019,Incorrect rate override entered manually by operator,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,High,Medium,High,Sunday,2025-01-26T23:48:51.000000,2025-01-27T01:08:51.000000,2025-01-27T06:25:44.172785,2025-01-27T07:39:44.172785
ERR-2025-00020,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,STP CAT,Avengers,Hulk,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T14:30:33.000000,2025-01-01T16:00:33.000000,2025-01-01T22:53:43.895089,2025-01-01T23:39:43.895089
ERR-2025-00021,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Hulk,Closed,High,Medium,High,Wednesday,2025-01-01T16:40:35.000000,2025-01-01T18:06:35.000000,2025-01-01T22:26:43.441640,2025-01-01T23:19:43.441640
ERR-2025-00022,SWIFT message sent with incorrect sender reference,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,Medium,Monday,2025-01-20T18:46:11.000000,2025-01-20T19:03:11.000000,2025-01-20T23:45:05.177993,2025-01-21T00:54:05.177993
ERR-2025-00023,Payment submitted without required compliance pre-approval,International Transfer,Stargate,Avengers,Thor,Closed,High,High,High,Thursday,2025-01-02T11:33:20.000000,2025-01-02T11:58:20.000000,2025-01-02T17:27:46.344000,2025-01-02T17:58:46.344000
ERR-2025-00024,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,STP CAT,Avengers,Hulk,Closed,Critical,High,Medium,Friday,2025-01-17T01:13:50.000000,2025-01-17T02:05:50.000000,2025-01-17T03:59:45.688842,2025-01-17T05:28:45.688842
ERR-2025-00025,Rate effective date set incorrectly - wrong rate applied to batch,Money Rates,SOLEMOS,Avengers,Doctor Strange,On Hold,Medium,Medium,Medium,Wednesday,2025-01-01T11:51:23.000000,,,
ERR-2025-00026,Wrong sort code entered - domestic payment routed to wrong bank,Domestic Payment,STP CAT,Avengers,Doctor Strange,Closed,High,Medium,High,Tuesday,2025-01-21T14:35:43.000000,2025-01-21T14:55:43.000000,2025-01-21T18:03:20.647239,2025-01-21T19:12:20.647239
ERR-2025-00027,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Thor,Closed,Critical,Medium,High,Monday,2025-01-20T06:14:04.000000,2025-01-20T07:29:04.000000,2025-01-20T10:19:05.245236,2025-01-20T11:41:05.245236
ERR-2025-00028,Wrong beneficiary IBAN entered - payment sent to incorrect account,International Transfer,Stargate,Avengers,Thor,Closed,Critical,High,High,Thursday,2025-01-02T22:55:16.000000,2025-01-02T23:58:16.000000,2025-01-03T00:28:28.394291,2025-01-03T00:59:28.394291
ERR-2025-00029,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,High,Monday,2025-01-13T09:36:43.000000,2025-01-13T09:52:43.000000,2025-01-13T14:49:09.420683,2025-01-13T16:06:09.420683
ERR-2025-00030,Wrong currency selected - USD payment sent instead of EUR,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,Medium,High,Friday,2025-01-24T15:20:24.000000,2025-01-24T15:31:24.000000,2025-01-24T19:15:25.014718,2025-01-24T20:36:25.014718
ERR-2025-00031,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Monday,2025-01-20T10:59:39.000000,2025-01-20T11:36:39.000000,2025-01-20T20:50:44.804280,2025-01-20T21:34:44.804280
ERR-2025-00032,Manual override applied in Process X without supervisor sign-off,Proces X,SOLEMOS,Avengers,Iron Man,Closed,Medium,Medium,Medium,Monday,2025-01-13T11:50:22.000000,2025-01-13T12:00:22.000000,2025-01-14T10:51:17.205532,2025-01-14T11:54:17.205532
ERR-2025-00033,Payment in Process X actioned by unauthorised operator,Proces X,STP CAT,Avengers,Thor,Closed,Critical,High,High,Sunday,2025-01-12T14:53:10.000000,2025-01-12T15:39:10.000000,2025-01-12T16:45:44.094149,2025-01-12T17:07:44.094149
ERR-2025-00034,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Thor,Closed,High,High,High,Monday,2025-01-20T14:35:34.000000,2025-01-20T15:29:34.000000,2025-01-20T20:14:03.485509,2025-01-20T21:20:03.485509
ERR-2025-00035,Wrong currency pair rate applied - EUR/GBP used instead of EUR/USD,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,High,High,High,Tuesday,2025-01-07T06:32:34.000000,2025-01-07T07:53:34.000000,2025-01-07T10:09:46.814052,2025-01-07T10:55:46.814052
ERR-2025-00036,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,High,High,High,Friday,2025-01-24T04:55:04.000000,2025-01-24T05:37:04.000000,2025-01-24T09:40:15.100950,2025-01-24T10:31:15.100950
ERR-2025-00037,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,STP CAT,Avengers,Thor,Closed,Medium,Medium,Medium,Monday,2025-01-13T03:18:03.000000,2025-01-13T04:02:03.000000,2025-01-13T14:36:36.855467,2025-01-13T15:14:36.855467
ERR-2025-00038,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,High,Thursday,2025-01-02T14:17:33.000000,2025-01-02T15:32:33.000000,2025-01-02T20:03:37.933655,2025-01-02T20:58:37.933655
ERR-2025-00039,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Thor,Closed,High,High,High,Monday,2025-01-13T17:08:24.000000,2025-01-13T18:00:24.000000,2025-01-13T23:24:27.529458,2025-01-14T00:50:27.529458
ERR-2025-00040,Incorrect interest rate applied to overnight settlement,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,High,Medium,High,Thursday,2025-01-16T08:08:22.000000,2025-01-16T08:29:22.000000,2025-01-16T13:30:09.503480,2025-01-16T14:15:09.503480
ERR-2025-00041,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Monday,2025-01-27T16:43:44.000000,2025-01-27T17:27:44.000000,2025-01-27T20:01:26.757823,2025-01-27T21:14:26.757823
ERR-2025-00042,Incorrect rate override entered manually by operator,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,High,Medium,High,Tuesday,2025-01-21T12:08:19.000000,2025-01-21T13:14:19.000000,2025-01-21T15:22:11.821826,2025-01-21T16:04:11.821826
ERR-2025-00043,Rate effective date set incorrectly - wrong rate applied to batch,Money Rates,SOLEMOS,Avengers,Hulk,Closed,Critical,High,High,Monday,2025-01-20T12:24:48.000000,2025-01-20T13:00:48.000000,2025-01-20T13:51:33.328422,2025-01-20T14:45:33.328422
ERR-2025-00044,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Hulk,Closed,Medium,Medium,Medium,Saturday,2025-01-04T14:29:55.000000,2025-01-04T15:25:55.000000,2025-01-05T09:07:36.141267,2025-01-05T09:53:36.141267
ERR-2025-00045,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Thor,Closed,High,Medium,High,Monday,2025-01-06T11:53:43.000000,2025-01-06T12:25:43.000000,2025-01-06T16:49:55.854048,2025-01-06T17:18:55.854048
ERR-2025-00046,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,High,Friday,2025-01-03T13:25:16.000000,2025-01-03T14:43:16.000000,2025-01-03T15:29:40.323966,2025-01-03T16:51:40.323966
ERR-2025-00047,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Thor,Closed,High,High,High,Friday,2025-01-10T16:51:42.000000,2025-01-10T17:21:42.000000,2025-01-10T22:58:10.412952,2025-01-10T23:24:10.412952
ERR-2025-00048,Manual override applied in Process X without supervisor sign-off,Proces X,SOLEMOS,Avengers,Hulk,Closed,Critical,High,High,Monday,2025-01-20T20:56:34.000000,2025-01-20T21:37:34.000000,2025-01-20T22:22:40.327645,2025-01-20T23:03:40.327645
ERR-2025-00049,SEPA file submitted with incorrect execution date,SEPA Payment,Stargate,Avengers,Iron Man,Closed,High,Medium,Medium,Tuesday,2025-01-28T17:47:57.000000,2025-01-28T18:47:57.000000,2025-01-29T00:19:29.969123,2025-01-29T01:19:29.969123
ERR-2025-00050,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,Critical,High,High,Sunday,2025-01-26T16:47:25.000000,2025-01-26T17:58:25.000000,2025-01-26T19:49:53.307635,2025-01-26T20:20:53.307635
ERR-2025-00051,Wrong debtor account used in SEPA Direct Debit collection,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Thursday,2025-01-16T09:38:32.000000,2025-01-16T10:21:32.000000,2025-01-16T13:00:59.615320,2025-01-16T14:12:59.615320
ERR-2025-00052,Payment submitted without required compliance pre-approval,International Transfer,Stargate,Avengers,Hulk,New,Low,Low,Low,Wednesday,2025-01-22T12:29:55.000000,,,
ERR-2025-00053,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,STP CAT,Avengers,Hulk,Closed,Medium,Medium,Low,Sunday,2025-01-26T01:00:17.000000,2025-01-26T02:21:17.000000,2025-01-26T22:02:48.701476,2025-01-26T23:05:48.701476
ERR-2025-00054,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,Stargate,Avengers,Thor,Closed,Critical,High,High,Tuesday,2025-01-21T05:19:21.000000,2025-01-21T06:29:21.000000,2025-01-21T06:57:52.335044,2025-01-21T07:24:52.335044
ERR-2025-00055,Incorrect correspondent bank selected for USD settlement,International Transfer,Stargate,Avengers,Iron Man,Closed,High,High,High,Tuesday,2025-01-14T12:44:33.000000,2025-01-14T13:38:33.000000,2025-01-14T19:37:02.408809,2025-01-14T19:58:02.408809
ERR-2025-00056,Wrong IBAN updated during manual correction in Process X,Proces X,SOLEMOS,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Friday,2025-01-31T08:22:52.000000,2025-01-31T08:56:52.000000,2025-01-31T19:57:06.764900,2025-01-31T20:54:06.764900
ERR-2025-00057,Wrong IBAN entered in bulk SEPA file - batch partially rejected,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,Critical,High,High,Tuesday,2025-01-21T19:46:17.000000,2025-01-21T20:20:17.000000,2025-01-21T22:07:29.732826,2025-01-21T22:43:29.732826
ERR-2025-00058,Manual rate entry typo caused overcharge to client,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,Critical,High,High,Wednesday,2025-01-29T14:14:02.000000,2025-01-29T15:04:02.000000,2025-01-29T15:25:33.324465,2025-01-29T16:37:33.324465
ERR-2025-00059,Wrong remittance information causing invoice matching failure,SEPA Payment,STP CAT,Avengers,Iron Man,Closed,High,High,Medium,Tuesday,2025-01-14T12:42:40.000000,2025-01-14T14:11:40.000000,2025-01-14T17:27:28.909347,2025-01-14T18:04:28.909347
ERR-2025-00060,Duplicate SEPA batch uploaded - double payments issued to beneficiaries,SEPA Payment,STP CAT,Avengers,Thor,Closed,High,High,High,Monday,2025-01-27T16:15:55.000000,2025-01-27T16:31:55.000000,2025-01-27T18:55:56.717113,2025-01-27T19:43:56.717113
ERR-2025-00061,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,Stargate,Avengers,Hulk,Closed,High,High,High,Friday,2025-01-24T10:22:53.000000,2025-01-24T10:41:53.000000,2025-01-24T12:54:55.382895,2025-01-24T13:56:55.382895
ERR-2025-00062,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Thor,Closed,High,Medium,Medium,Monday,2025-01-27T06:27:21.000000,2025-01-27T07:49:21.000000,2025-01-27T11:02:44.169436,2025-01-27T11:26:44.169436
ERR-2025-00063,Process X item closed without resolution - payment lost in queue,Proces X,SOLEMOS,Avengers,Iron Man,Closed,High,High,High,Thursday,2025-01-09T13:48:13.000000,2025-01-09T14:06:13.000000,2025-01-09T19:39:05.749839,2025-01-09T20:02:05.749839
ERR-2025-00064,Wrong creditor name in SEPA file causing beneficiary mismatch,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,Low,Low,Low,Monday,2025-01-06T09:19:40.000000,2025-01-06T09:34:40.000000,2025-01-07T13:40:23.307691,2025-01-07T14:07:23.307691
ERR-2025-00065,Manual rate entry typo caused overcharge to client,Money Rates,SOLEMOS,Avengers,Thor,Closed,Low,Low,Low,Monday,2025-01-20T20:17:09.000000,2025-01-20T20:33:09.000000,2025-01-21T13:56:37.125586,2025-01-21T15:13:37.125586
ERR-2025-00066,Incorrect interest rate applied to overnight settlement,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,High,High,High,Monday,2025-01-20T03:27:43.000000,2025-01-20T04:15:43.000000,2025-01-20T07:13:57.261336,2025-01-20T07:52:57.261336
ERR-2025-00067,FX rate applied before market open - incorrect indicative rate used,Money Rates,SOLEMOS,Avengers,Hulk,Closed,Low,Low,Low,Monday,2025-01-27T16:40:06.000000,2025-01-27T18:05:06.000000,2025-01-29T03:44:46.081065,2025-01-29T04:56:46.081065
ERR-2025-00068,Rate effective date set incorrectly - wrong rate applied to batch,Money Rates,SOLEMOS,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Wednesday,2025-01-01T22:54:40.000000,2025-01-01T23:21:40.000000,2025-01-02T16:23:54.880387,2025-01-02T17:50:54.880387
ERR-2025-00069,SEPA payment sent to closed account - return not processed timely,SEPA Payment,STP CAT,Avengers,Hulk,Closed,Medium,Medium,Medium,Tuesday,2025-01-21T01:44:46.000000,2025-01-21T02:47:46.000000,2025-01-22T00:04:45.605796,2025-01-22T00:49:45.605796
ERR-2025-00070,Duplicate SEPA batch uploaded - double payments issued to beneficiaries,SEPA Payment,STP CAT,Avengers,Thor,Closed,Critical,High,High,Friday,2025-01-10T12:37:46.000000,2025-01-10T13:40:46.000000,2025-01-10T15:21:30.431544,2025-01-10T16:16:30.431544
ERR-2025-00071,Batch domestic file contained incorrect beneficiary account details,Domestic Payment,STP CAT,Avengers,Thor,Closed,Medium,Low,Medium,Thursday,2025-01-30T16:38:01.000000,2025-01-30T17:15:01.000000,2025-01-31T05:47:19.801271,2025-01-31T07:04:19.801271
ERR-2025-00072,Payment submitted without required compliance pre-approval,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,Medium,Wednesday,2025-01-08T12:53:48.000000,2025-01-08T14:09:48.000000,2025-01-08T16:49:08.950402,2025-01-08T17:37:08.950402
ERR-2025-00073,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,Medium,Wednesday,2025-01-15T15:48:19.000000,2025-01-15T16:10:19.000000,2025-01-15T17:30:59.846371,2025-01-15T18:17:59.846371
ERR-2025-00074,Rate tolerance breach not escalated to treasury desk,Money Rates,SOLEMOS,Avengers,Doctor Strange,Closed,High,Medium,Medium,Friday,2025-01-24T11:07:54.000000,2025-01-24T12:23:54.000000,2025-01-24T17:14:01.093925,2025-01-24T18:30:01.093925
ERR-2025-00075,Wrong currency pair rate applied - EUR/GBP used instead of EUR/USD,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,Medium,Medium,Medium,Friday,2025-01-31T13:04:37.000000,2025-01-31T13:20:37.000000,2025-02-01T07:27:23.061920,2025-02-01T08:27:23.061920
ERR-2025-00076,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Hulk,Closed,Critical,High,High,Thursday,2025-01-23T12:20:43.000000,2025-01-23T12:34:43.000000,2025-01-23T13:51:04.022002,2025-01-23T14:25:04.022002
ERR-2025-00077,SEPA payment amount keyed incorrectly - underpayment to supplier,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,Medium,Medium,Medium,Wednesday,2025-01-15T13:57:12.000000,2025-01-15T14:59:12.000000,2025-01-16T09:06:09.472200,2025-01-16T09:47:09.472200
ERR-2025-00078,Wrong IBAN entered in bulk SEPA file - batch partially rejected,SEPA Payment,Stargate,Avengers,Iron Man,Closed,High,High,Low,Thursday,2025-01-09T13:23:32.000000,2025-01-09T14:30:32.000000,2025-01-09T20:06:14.112064,2025-01-09T20:32:14.112064
ERR-2025-00079,Wrong currency pair rate applied - EUR/GBP used instead of EUR/USD,Money Rates,SOLEMOS,Avengers,Thor,Closed,Medium,Medium,Medium,Tuesday,2025-01-07T14:26:26.000000,2025-01-07T15:40:26.000000,2025-01-08T00:29:47.417880,2025-01-08T01:31:47.417880
ERR-2025-00080,Mandate reference missing from SEPA Direct Debit submission,SEPA Payment,STP CAT,Avengers,Thor,Closed,Medium,Low,Medium,Thursday,2025-01-23T02:17:16.000000,2025-01-23T03:45:16.000000,2025-01-24T00:35:49.364471,2025-01-24T01:04:49.364471
ERR-2025-00081,SEPA payment sent to closed account - return not processed timely,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,Critical,High,Medium,Monday,2025-01-13T12:11:32.000000,2025-01-13T13:19:32.000000,2025-01-13T13:53:47.297423,2025-01-13T15:08:47.297423
ERR-2025-00082,Wrong account debited - fee charged to incorrect cost centre,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,Medium,Tuesday,2025-01-28T12:51:06.000000,2025-01-28T14:12:06.000000,2025-01-28T16:35:24.408714,2025-01-28T17:16:24.408714
ERR-2025-00083,Fallback rate not updated after primary feed outage,Money Rates,SOLEMOS,Avengers,Thor,Closed,Critical,High,High,Wednesday,2025-01-15T14:03:40.000000,2025-01-15T14:27:40.000000,2025-01-15T17:12:50.085265,2025-01-15T17:48:50.085265
ERR-2025-00084,Manual rate entry typo caused overcharge to client,Money Rates,SOLEMOS,Avengers,Thor,Closed,Critical,High,High,Friday,2025-01-10T16:46:46.000000,2025-01-10T18:13:46.000000,2025-01-10T19:03:16.702164,2025-01-10T19:20:16.702164
ERR-2025-00085,SEPA batch submitted after cut-off - delayed by one business day,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Sunday,2025-01-05T12:52:44.000000,2025-01-05T13:25:44.000000,2025-01-05T16:16:32.878308,2025-01-05T16:34:32.878308
ERR-2025-00086,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Thor,Closed,Critical,High,High,Tuesday,2025-01-21T21:47:06.000000,2025-01-21T22:16:06.000000,2025-01-21T22:53:44.814839,2025-01-21T23:23:44.814839
ERR-2025-00087,Rate effective date set incorrectly - wrong rate applied to batch,Money Rates,SOLEMOS,Avengers,Iron Man,Closed,High,High,Medium,Saturday,2025-01-04T09:24:04.000000,2025-01-04T09:57:04.000000,2025-01-04T12:07:17.356552,2025-01-04T13:31:17.356552
ERR-2025-00088,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Doctor Strange,Closed,High,High,Medium,Sunday,2025-01-26T08:48:24.000000,2025-01-26T09:22:24.000000,2025-01-26T13:02:08.715253,2025-01-26T13:58:08.715253
ERR-2025-00089,Wrong value date set - payment settled one day early,International Transfer,Stargate,Avengers,Hulk,Closed,High,Medium,High,Tuesday,2025-01-07T06:20:58.000000,2025-01-07T07:15:58.000000,2025-01-07T11:11:22.303969,2025-01-07T11:28:22.303969
ERR-2025-00090,Incorrect interest rate applied to overnight settlement,Money Rates,SOLEMOS,Avengers,Thor,New,Low,Low,Low,Thursday,2025-01-23T06:13:37.000000,,,
ERR-2025-00091,Stale rate used after feed failure - not escalated in time,Money Rates,SOLEMOS,Avengers,Doctor Strange,Closed,High,High,High,Sunday,2025-01-26T03:12:18.000000,2025-01-26T03:52:18.000000,2025-01-26T08:36:28.830740,2025-01-26T08:59:28.830740
ERR-2025-00092,Stale rate used after feed failure - not escalated in time,Money Rates,SOLEMOS,Avengers,Thor,Closed,High,High,High,Monday,2025-01-06T22:05:20.000000,2025-01-06T22:28:20.000000,2025-01-07T04:05:41.715236,2025-01-07T05:16:41.715236
ERR-2025-00093,Duplicate international wire submitted - double payment issued,International Transfer,Stargate,Avengers,Thor,Closed,High,High,Medium,Wednesday,2025-01-08T05:37:50.000000,2025-01-08T05:48:50.000000,2025-01-08T09:00:29.227708,2025-01-08T09:31:29.227708
ERR-2025-00094,Incorrect BIC code used - wire transfer routed to wrong bank,International Transfer,Stargate,Avengers,Hulk,Closed,High,Medium,Medium,Monday,2025-01-27T10:18:25.000000,2025-01-27T11:29:25.000000,2025-01-27T14:39:46.145965,2025-01-27T15:29:46.145965
ERR-2025-00095,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Doctor Strange,Closed,Critical,High,High,Tuesday,2025-01-14T20:05:52.000000,2025-01-14T21:23:52.000000,2025-01-14T22:21:08.320171,2025-01-14T22:40:08.320171
ERR-2025-00096,Wrong IBAN entered in bulk SEPA file - batch partially rejected,SEPA Payment,Stargate,Avengers,Thor,Closed,Medium,Medium,Medium,Friday,2025-01-10T13:32:22.000000,2025-01-10T13:56:22.000000,2025-01-11T12:49:47.154426,2025-01-11T13:07:47.154426
ERR-2025-00097,Wrong IBAN entered in bulk SEPA file - batch partially rejected,SEPA Payment,STP CAT,Avengers,Doctor Strange,Closed,High,Medium,Medium,Friday,2025-01-24T08:53:48.000000,2025-01-24T09:56:48.000000,2025-01-24T12:14:11.867971,2025-01-24T12:35:11.867971
ERR-2025-00098,Missing payment reference - correspondent bank unable to apply funds,International Transfer,Stargate,Avengers,Doctor Strange,In Progress,High,High,Medium,Friday,2025-01-24T13:59:08.000000,2025-01-24T14:15:08.000000,,
ERR-2025-00099,Process X SLA breached - payment delayed beyond agreed window,Proces X,SOLEMOS,Avengers,Thor,Closed,High,High,Medium,Sunday,2025-01-12T14:03:59.000000,2025-01-12T15:29:59.000000,2025-01-12T19:03:14.178974,2025-01-12T20:22:14.178974
ERR-2025-00100,Incorrect amount entered - overpayment of 10x original value,International Transfer,Stargate,Avengers,Hulk,Closed,High,High,High,Sunday,2025-01-12T08:46:12.000000,2025-01-12T09:07:12.000000,2025-01-12T12:54:37.751828,2025-01-12T13:09:37.751828
ERR-2025-00101,Process X item duplicated after system timeout during save,Proces X,SOLEMOS,Avengers,Hulk,On Hold,Medium,Medium,Low,Monday,2025-01-20T12:45:09.000000,,,
ERR-2025-00102,Incorrect end-to-end reference causing reconciliation failure,SEPA Payment,Stargate,Avengers,Doctor Strange,Closed,Medium,Low,Medium,Friday,2025-01-10T22:51:34.000000,2025-01-11T00:18:34.000000,2025-01-11T23:55:33.930089,2025-01-12T00:15:33.930089
ERR-2025-00103,Payment dispatched to sanctioned entity - compliance breach,International Transfer,Stargate,Avengers,Hulk,Closed,Medium,Medium,Medium,Wednesday,2025-01-15T08:39:40.000000,2025-01-15T09:19:40.000000,2025-01-16T08:15:25.388912,2025-01-16T09:29:25.388912
